# Time-averaged data for fix 11
# TimeStep c_omsd[1] c_omsd[2] c_omsd[3] c_omsd[4]
2000 0.29355 0.293476 0.295372 0.882399
4000 0.851968 0.86314 0.86846 2.58357
6000 1.39893 1.393 1.39972 4.19165
8000 1.92178 1.91513 1.92695 5.76386
10000 2.46828 2.41526 2.45688 7.34042
12000 3.00035 2.94653 2.99264 8.93953
14000 3.54673 3.47187 3.57305 10.5916
16000 4.065 4.00687 4.16189 12.2338
18000 4.59591 4.53622 4.72668 13.8588
20000 5.14961 5.10114 5.33132 15.5821
22000 5.75077 5.67626 5.9417 17.3687
24000 6.38201 6.16491 6.549 19.0959
26000 6.87966 6.69741 7.14421 20.7213
28000 7.42608 7.21951 7.71687 22.3625
30000 7.97125 7.78109 8.29936 24.0517
32000 8.49311 8.37073 8.84182 25.7057
34000 9.00237 8.92496 9.37621 27.3035
36000 9.50714 9.54335 9.90106 28.9516
38000 10.011 10.1186 10.4964 30.626
40000 10.4705 10.6968 11.0047 32.172
42000 10.9709 11.306 11.5352 33.8121
44000 11.5093 11.9191 12.1062 35.5346
46000 12.0441 12.542 12.7215 37.3077
48000 12.472 13.1197 13.2202 38.8119
50000 12.9876 13.6652 13.793 40.4459
52000 13.5643 14.2151 14.3533 42.1327
54000 14.1461 14.7387 14.8545 43.7393
56000 14.6743 15.293 15.3239 45.2912
58000 15.2834 15.8585 15.8437 46.9856
60000 15.8561 16.3842 16.3824 48.6228
62000 16.4671 16.9066 16.9049 50.2786
64000 17.0211 17.454 17.4806 51.9557
66000 17.5258 17.8761 18.0333 53.4352
68000 18.068 18.4588 18.4921 55.019
70000 18.6047 18.9885 19.0828 56.676
72000 19.0856 19.5116 19.6865 58.2836
74000 19.6828 20.0792 20.2204 59.9823
76000 20.2976 20.667 20.746 61.7107
78000 20.8741 21.3897 21.2842 63.548
80000 21.4765 22.0115 21.8016 65.2896
82000 22.1428 22.5069 22.3904 67.0401
84000 22.6512 23.0609 22.8474 68.5594
86000 23.1349 23.6865 23.3078 70.1292
88000 23.7458 24.2938 23.8735 71.9132
90000 24.3689 24.9478 24.3566 73.6733
92000 24.9523 25.5372 24.8281 75.3176
94000 25.5926 26.0994 25.3688 77.0608
96000 26.2285 26.678 25.9684 78.8749
98000 26.8634 27.2931 26.5297 80.6862
100000 27.4272 27.8514 27.0886 82.3671
