# Time-averaged data for fix 23
# TimeStep Number-of-rows
# Row c_ardf[1] c_ardf[2] c_ardf[3]
0 200
1 0.0175 0 0
2 0.0525 0 0
3 0.0875 0 0
4 0.1225 0 0
5 0.1575 0 0
6 0.1925 0 0
7 0.2275 0 0
8 0.2625 0 0
9 0.2975 0 0
10 0.3325 0 0
11 0.3675 0 0
12 0.4025 0 0
13 0.4375 0 0
14 0.4725 0 0
15 0.5075 0 0
16 0.5425 0 0
17 0.5775 0 0
18 0.6125 0 0
19 0.6475 0 0
20 0.6825 0 0
21 0.7175 0 0
22 0.7525 0 0
23 0.7875 0 0
24 0.8225 0 0
25 0.8575 0 0
26 0.8925 0 0
27 0.9275 0 0
28 0.9625 0 0
29 0.9975 0 0
30 1.0325 0 0
31 1.0675 0 0
32 1.1025 0 0
33 1.1375 0.00243097 0.000125
34 1.1725 0.00228802 0.00025
35 1.2075 0.00647193 0.000625
36 1.2425 0.0285249 0.002375
37 1.2775 0.0539668 0.005875
38 1.3125 0.215464 0.020625
39 1.3475 0.31009 0.043
40 1.3825 0.53816 0.083875
41 1.4175 0.738909 0.142875
42 1.4525 0.916936 0.21975
43 1.4875 1.09038 0.315625
44 1.5225 1.21588 0.427625
45 1.5575 1.30968 0.553875
46 1.5925 1.2515 0.68
47 1.6275 1.11394 0.79725
48 1.6625 1.14037 0.9225
49 1.6975 1.01523 1.03875
50 1.7325 0.918037 1.14825
51 1.7675 0.841764 1.25275
52 1.8025 0.760016 1.35087
53 1.8375 0.695006 1.44412
54 1.8725 0.732965 1.54625
55 1.9075 0.702856 1.64787
56 1.9425 0.734445 1.758
57 1.9775 0.81325 1.88437
58 2.0125 0.823266 2.01687
59 2.0475 0.904161 2.1675
60 2.0825 0.97122 2.33487
61 2.1175 1.03549 2.51937
62 2.1525 1.034 2.70975
63 2.1875 1.13463 2.9255
64 2.2225 1.18833 3.15875
65 2.2575 1.22275 3.40637
66 2.2925 1.18929 3.65475
67 2.3275 1.15437 3.90325
68 2.3625 1.17284 4.16337
69 2.3975 1.14268 4.42437
70 2.4325 1.14193 4.69287
71 2.4675 1.07618 4.95325
72 2.5025 1.05935 5.21687
73 2.5375 1.05573 5.487
74 2.5725 1.06332 5.76663
75 2.6075 1.01415 6.04063
76 2.6425 0.988365 6.31488
77 2.6775 0.990339 6.597
78 2.7125 1.05174 6.9045
79 2.7475 0.993025 7.20238
80 2.7825 0.999485 7.50988
81 2.8175 1.018 7.831
82 2.8525 1.02642 8.16288
83 2.8875 1.00508 8.49588
84 2.9225 1.0132 8.83975
85 2.9575 0.995112 9.18563
86 2.9925 1.00078 9.54175
87 3.0275 1.00523 9.90788
88 3.0625 0.995126 10.2788
89 3.0975 1.01309 10.665
90 3.1325 0.987373 11.05
91 3.1675 0.971004 11.4371
92 3.2025 0.995903 11.843
93 3.2375 1.0213 12.2684
94 3.2725 0.966971 12.6799
95 3.3075 0.998949 13.1141
96 3.3425 0.95308 13.5373
97 3.3775 0.972311 13.978
98 3.4125 0.975429 14.4294
99 3.4475 0.95096 14.8785
100 3.4825 0.959176 15.3408
101 3.5175 0.985946 15.8255
102 3.5525 0.938449 16.2961
103 3.5875 0.962022 16.7881
104 3.6225 0.965816 17.2918
105 3.6575 0.942482 17.7928
106 3.6925 0.965075 18.3156
107 3.7275 0.971035 18.8518
108 3.7625 0.979496 19.4028
109 3.7975 1.00493 19.9786
110 3.8325 0.983877 20.5529
111 3.8675 0.972249 21.1307
112 3.9025 0.982359 21.7252
113 3.9375 0.962944 22.3185
114 3.9725 0.98233 22.9345
115 4.0075 1.00775 23.5776
116 4.0425 1.01213 24.2349
117 4.0775 0.984231 24.8851
118 4.1125 1.00661 25.5616
119 4.1475 1.0078 26.2505
120 4.1825 0.996574 26.9433
121 4.2175 1.02131 27.6651
